"ItemGuid","SalesOrderGuid","SalesOrderId","CreatedAt","ChangedAt","BuyerGuid","CurrencyCode","GrossAmount","NetAmount","TaxAmount","ItemPosition","ProductID","ProductName","ProductCategory","ItemGrossAmount","ItemNetAmount","ItemTaxAmount","ProductGuid","TextGuid","Change_Type","Change_Date"
"42010AA400041EED8CF394669C3796BA","42010AA400041EED8CF39466561416BA","0500000000","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2D16BA","EUR","6.9","5.8","1.1","0000000010","MP-M-1000","Clipboard - Turquois","Miscellaneous","6.9","5.8","1.1","42010AA400041EED8CF393ABD2A196BA","42010AA400041EED8CF393A96D6CB6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C37B6BA","42010AA400041EED8CF39466561436BA","0500000001","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C36BA","EUR","68.58","57.63","10.95","0000000010","DE-PP-1000","Premium Pencil Holder","Pen & Pencil Holders","61.83","51.96","9.87","42010AA400041EED8CF393ABD2AB16BA","42010AA400041EED8CF393A96D7FB6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C37D6BA","42010AA400041EED8CF39466561436BA","0500000001","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C36BA","EUR","68.58","57.63","10.95","0000000020","WD-MP-1002","Marker Pens - Orange","Marker Pens","6.75","5.67","1.08","42010AA400041EED8CF393ABD2B036BA","42010AA400041EED8CF393ABD28E76BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C37F6BA","42010AA400041EED8CF39466561456BA","0500000002","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C36BA","EUR","54.39","45.7","8.69","0000000010","PP-SN-1005","Bookmark Sticky Notes - assorted","Sticky Notes","13.33","11.2","2.13","42010AA400041EED8CF393ABD2A836BA","42010AA400041EED8CF393A96D79F6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3816BA","42010AA400041EED8CF39466561456BA","0500000002","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C36BA","EUR","54.39","45.7","8.69","0000000020","AR-FB-1013","13-Pocket Expanding File - Blue","Files & Binders","41.06","34.5","6.56","42010AA400041EED8CF393ABD2A056BA","42010AA400041EED8CF393A96D6A36BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3836BA","42010AA400041EED8CF39466561476BA","0500000003","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2D56BA","EUR","11.42","9.6","1.82","0000000010","DE-GS-1004","Portable Tape Dispenser - assorted - Pack of 4","Glue & Sticky Tape","11.42","9.6","1.82","42010AA400041EED8CF393ABD2A9B6BA","42010AA400041EED8CF393A96D7CF6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3856BA","42010AA400041EED8CF39466561496BA","0500000004","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2CB6BA","EUR","97.7","82.1","15.6","0000000010","OF-PW-1001","Office Plant","Plants & Watering Cans","70.92","59.6","11.32","42010AA400041EED8CF393ABD2B516BA","42010AA400041EED8CF393ABD29836BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3876BA","42010AA400041EED8CF39466561496BA","0500000004","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2CB6BA","EUR","97.7","82.1","15.6","0000000020","PP-SN-1001","Sticky Notes - Assorted - Pack of 4","Sticky Notes","26.78","22.5","4.28","42010AA400041EED8CF393ABD2A7B6BA","42010AA400041EED8CF393A96D78F6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3896BA","42010AA400041EED8CF394665614B6BA","0500000005","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C56BA","EUR","70.86","59.55","11.31","0000000010","DE-GS-1003","Portable Tape Dispenser","Glue & Sticky Tape","2.14","1.8","0.34","42010AA400041EED8CF393ABD2A996BA","42010AA400041EED8CF393A96D7CB6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C38B6BA","42010AA400041EED8CF394665614B6BA","0500000005","2016-12-31 23:00:00.000000000","2017-01-07 23:00:00.000000000","42010AA400041EED8CF393A96D2C56BA","EUR","70.86","59.55","11.31","0000000020","WD-BP-1003","Gelstick Rollerball Pens - Assorted - Pack of 12","Ballpoint Pens","68.72","57.75","10.97","42010AA400041EED8CF393ABD2AF36BA","42010AA400041EED8CF393ABD28C76BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C38D6BA","42010AA400041EED8CF394665614D6BA","0500000006","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2D36BA","EUR","15.18","12.76","2.42","0000000010","MP-WM-1001","Dry-wipe Marker Pen - Assorted - Pack of 4","Whiteboard Marker","9.47","7.96","1.51","42010AA400041EED8CF393ABD2A296BA","42010AA400041EED8CF393A96D6EB6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C38F6BA","42010AA400041EED8CF394665614D6BA","0500000006","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2D36BA","EUR","15.18","12.76","2.42","0000000020","MC-M-1000","Desktop Calendar","Calendars","5.71","4.8","0.91","42010AA400041EED8CF393ABD2B576BA","42010AA400041EED8CF393ABD298F6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3916BA","42010AA400041EED8CF394665614F6BA","0500000007","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2CF6BA","EUR","3.81","3.2","0.61","0000000010","DE-PPM-100","Vinyl Paper Clips 50mm - Assorted - Pack of 200","Paperclips, Pins & Magnets","3.81","3.2","0.61","42010AA400041EED8CF393ABD2ABB6BA","42010AA400041EED8CF393A96D80F6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3936BA","42010AA400041EED8CF39466561516BA","0500000008","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2C96BA","EUR","22.37","18.8","3.57","0000000010","PP-NB-1006","Wirebound Notebook - Plain - 80 Sheets","Note Books & Paper","13.33","11.2","2.13","42010AA400041EED8CF393ABD2A616BA","42010AA400041EED8CF393A96D75B6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3956BA","42010AA400041EED8CF39466561516BA","0500000008","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2C96BA","EUR","22.37","18.8","3.57","0000000020","DE-PP-1002","State-of-the-art Pencil Holder","Pen & Pencil Holders","9.04","7.6","1.44","42010AA400041EED8CF393ABD2AB56BA","42010AA400041EED8CF393A96D8036BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3976BA","42010AA400041EED8CF39466561536BA","0500000009","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2D16BA","EUR","10.41","8.75","1.66","0000000010","MC-B-1004","Rechargable AA-Batteries - Pack of 4","Batteries","10.41","8.75","1.66","42010AA400041EED8CF393ABD2B716BA","42010AA400041EED8CF393ABD29C36BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C3996BA","42010AA400041EED8CF39466561556BA","0500000010","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2D36BA","EUR","2.25","1.89","0.36","0000000010","WD-MP-1000","Highlighter - Pink","Marker Pens","2.25","1.89","0.36","42010AA400041EED8CF393ABD2AFF6BA","42010AA400041EED8CF393ABD28DF6BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C39B6BA","42010AA400041EED8CF39466561576BA","0500000011","2017-01-01 23:00:00.000000000","2017-01-08 23:00:00.000000000","42010AA400041EED8CF393A96D2C56BA","EUR","595","500","95","0000000010","OF-ST-1004","Filing Cabinet - 3 drawers","Storage Solutions","595","500","95","42010AA400041EED8CF393ABD2B316BA","42010AA400041EED8CF393ABD29436BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C39D6BA","42010AA400041EED8CF39466561596BA","0500000012","2017-01-02 23:00:00.000000000","2017-01-09 23:00:00.000000000","42010AA400041EED8CF393A96D2CB6BA","EUR","28.08","23.6","4.48","0000000010","PP-CP-1005","Printer Paper - Intense Green - 250 Sheets","Copier & Printer Paper","28.08","23.6","4.48","42010AA400041EED8CF393ABD2A3D6BA","42010AA400041EED8CF393A96D7136BA","L","2023-11-03 04:08:30.799000000"
"42010AA400041EED8CF394669C39F6BA","42010AA400041EED8CF394665615B6BA","0500000013","2017-01-02 23:00:00.000000000","2017-01-09 23:00:00.000000000","42010AA400041EED8CF393A96D2C96BA","EUR","4.11","3.45","0.66","0000000010","PP-NB-1004","Wirebound Notebook - Squared - 80 Sheets","Note Books & Paper","4.11","3.45","0.66","42010AA400041EED8CF393ABD2A5D6BA","42010AA400041EED8CF393A96D7536BA","L","2023-11-03 04:08:30.799000000"
