"NodeKey","BpRole","EmailAddress","PhoneNumber","FaxNumber","AddressGuid","BpId","CompanyName","LegalForm","CreatedAt","ChangedAt","CurrencyCode","Change_Type","Change_Date"
"42010AA400041EED8CF393A96D2C36BA","01","customer-info@officeline.test.com","39947387923","39947387004","42010AA400041EED8CF393A96D24B6BA","0100000000","Office Line Prag","s.r.o.","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2C56BA","01","customer-info@depot4all.test.com","13602463585","13602463004","42010AA400041EED8CF393A96D2516BA","0100000001","Depot-4All","GmbH","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2C76BA","01","customer-info@iteloffice.test.com","57319154389","57319154004","42010AA400041EED8CF393A96D2576BA","0100000002","ITeL-Office","GbR","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2C96BA","01","customer-info@famousus.test.com","4612001085","4612001004","42010AA400041EED8CF393A96D25D6BA","0100000003","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2CB6BA","01","customer-info@chinachain.test.com","55486454300","55486454004","42010AA400041EED8CF393A96D2636BA","0100000004","ChinaChain","WFOE","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2CD6BA","01","customer-info@famousus1.test.com","55486454400","55486454004","42010AA400041EED8CF393A96D2696BA","0100000005","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2CF6BA","01","customer-info@famousus2.test.com","55486454500","55486454004","42010AA400041EED8CF393A96D26F6BA","0100000006","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2D16BA","01","customer-info@famousus3.test.com","55486454600","55486454004","42010AA400041EED8CF393A96D2756BA","0100000007","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2D36BA","01","customer-info@famousus4.test.com","55486454700","55486454004","42010AA400041EED8CF393A96D27B6BA","0100000008","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2D56BA","01","customer-info@famousus5.test.com","55486454800","55486454004","42010AA400041EED8CF393A96D2816BA","0100000009","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
