"NodeKey","ParentKey","SoItemPos","ProductGuid","NoteGuid","CurrencyCode","GrossAmount","NetAmount","TaxAmount","ItemAtpStatus","OpItemPos","Dataaging","Dummy","Change_Type","Change_Date"
"42010AA400041EED8CF394669C3796BA","42010AA400041EED8CF39466561416BA","0000000010","42010AA400041EED8CF393ABD2A196BA","42010AA400041EED8CF394666EEE96BA","EUR","6.9","5.8","1.1","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C37B6BA","42010AA400041EED8CF39466561436BA","0000000010","42010AA400041EED8CF393ABD2AB16BA","42010AA400041EED8CF394666EEEB6BA","EUR","61.83","51.96","9.87","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C37D6BA","42010AA400041EED8CF39466561436BA","0000000020","42010AA400041EED8CF393ABD2B036BA","42010AA400041EED8CF394666EEED6BA","EUR","6.75","5.67","1.08","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C37F6BA","42010AA400041EED8CF39466561456BA","0000000010","42010AA400041EED8CF393ABD2A836BA","42010AA400041EED8CF394666EEEF6BA","EUR","13.33","11.2","2.13","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C3816BA","42010AA400041EED8CF39466561456BA","0000000020","42010AA400041EED8CF393ABD2A056BA","42010AA400041EED8CF394666EEF16BA","EUR","41.06","34.5","6.56","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C3836BA","42010AA400041EED8CF39466561476BA","0000000010","42010AA400041EED8CF393ABD2A9B6BA","42010AA400041EED8CF394666EEF36BA","EUR","11.42","9.6","1.82","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C3856BA","42010AA400041EED8CF39466561496BA","0000000010","42010AA400041EED8CF393ABD2B516BA","42010AA400041EED8CF394666EEF56BA","EUR","70.92","59.6","11.32","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C3876BA","42010AA400041EED8CF39466561496BA","0000000020","42010AA400041EED8CF393ABD2A7B6BA","42010AA400041EED8CF394666EEF76BA","EUR","26.78","22.5","4.28","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C3896BA","42010AA400041EED8CF394665614B6BA","0000000010","42010AA400041EED8CF393ABD2A996BA","42010AA400041EED8CF394666EEF96BA","EUR","2.14","1.8","0.34","","",,"","L","2023-11-03 04:08:25.088000000"
"42010AA400041EED8CF394669C38B6BA","42010AA400041EED8CF394665614B6BA","0000000020","42010AA400041EED8CF393ABD2AF36BA","42010AA400041EED8CF394666EEFB6BA","EUR","68.72","57.75","10.97","","",,"","L","2023-11-03 04:08:25.088000000"
